name,diameter,weight
orange,7.26,134.71
orange,7.26,134.72
orange,7.26,134.72
orange,7.26,134.73
orange,7.27,134.74
orange,7.27,134.76
orange,7.27,134.78
orange,7.27,134.79
orange,7.27,134.79
orange,7.27,134.8
orange,7.27,134.8
orange,7.27,134.81
orange,7.27,134.82
orange,7.27,134.83
orange,7.28,134.85
orange,7.28,134.85
orange,7.28,134.86
orange,7.28,134.87
orange,7.28,134.88
orange,7.28,134.89
orange,7.28,134.89
orange,7.28,134.9
orange,7.28,134.93
orange,7.28,134.99
orange,7.28,135
orange,7.28,135.02
orange,7.29,135.02
orange,7.29,135.08
orange,7.29,135.08
orange,7.29,135.1
orange,7.29,135.13
orange,7.29,135.14
orange,7.29,135.14
orange,7.29,135.2
orange,7.29,135.21
orange,7.3,135.22
orange,7.3,135.22
orange,7.3,135.24
orange,7.3,135.24
orange,7.3,135.24
orange,7.3,135.25
orange,7.3,135.26
orange,7.3,135.27
orange,7.3,135.28
orange,7.3,135.33
orange,7.31,135.35
orange,7.31,135.36
orange,7.31,135.4
orange,7.31,135.4
orange,7.31,135.41
orange,7.31,135.43
orange,7.31,135.44
orange,7.31,135.45
orange,7.31,135.46
orange,7.31,135.48
orange,7.31,135.52
orange,7.31,135.53
orange,7.31,135.55
orange,7.32,135.55
orange,7.32,135.56
orange,7.32,135.63
orange,7.32,135.64
orange,7.32,135.66
orange,7.32,135.68
orange,7.32,135.68
orange,7.32,135.69
orange,7.32,135.69
orange,7.32,135.72
orange,7.32,135.74
orange,7.32,135.74
orange,7.33,135.75
orange,7.33,135.76
orange,7.33,135.78
orange,7.33,135.79
orange,7.33,135.8
orange,7.33,135.81
orange,7.34,135.81
orange,7.34,135.82
orange,7.34,135.87
orange,7.34,135.88
orange,7.34,135.89
orange,7.34,135.9
orange,7.34,135.91
orange,7.35,135.93
orange,7.35,135.94
orange,7.35,135.94
orange,7.35,135.95
orange,7.35,135.95
orange,7.35,135.96
orange,7.35,135.98
orange,7.35,136
orange,7.35,136
orange,7.35,136.01
orange,7.36,136.01
orange,7.36,136.01
orange,7.36,136.02
orange,7.36,136.02
orange,7.36,136.04
orange,7.36,136.04
orange,7.36,136.04
orange,7.36,136.05
orange,7.36,136.06
orange,7.36,136.07
orange,7.37,136.07
orange,7.37,136.08
orange,7.37,136.1
orange,7.37,136.1
orange,7.37,136.11
orange,7.38,136.12
orange,7.38,136.13
orange,7.38,136.17
orange,7.38,136.18
orange,7.38,136.2
orange,7.38,136.22
orange,7.38,136.23
orange,7.38,136.27
orange,7.39,136.28
orange,7.39,136.3
orange,7.39,136.31
orange,7.39,136.31
orange,7.39,136.31
orange,7.39,136.32
orange,7.39,136.33
orange,7.39,136.33
orange,7.39,136.33
orange,7.39,136.35
orange,7.39,136.36
orange,7.39,136.39
orange,7.39,136.41
orange,7.4,136.43
orange,7.4,136.44
orange,7.4,136.45
orange,7.4,136.45
orange,7.4,136.45
orange,7.4,136.46
orange,7.4,136.47
orange,7.4,136.48
orange,7.4,136.48
orange,7.41,136.49
orange,7.41,136.49
orange,7.41,136.5
orange,7.41,136.53
orange,7.41,136.54
orange,7.41,136.55
orange,7.41,136.56
orange,7.41,136.58
orange,7.41,136.6
orange,7.42,136.61
orange,7.42,136.63
orange,7.42,136.64
orange,7.42,136.68
orange,7.42,136.69
orange,7.42,136.71
orange,7.42,136.76
orange,7.42,136.77
orange,7.42,136.79
orange,7.43,136.81
orange,7.43,136.84
orange,7.43,136.9
orange,7.43,136.93
orange,7.43,136.95
orange,7.43,137
orange,7.43,137.07
orange,7.43,137.08
orange,7.43,137.1
orange,7.44,137.12
orange,7.44,137.18
orange,7.44,137.23
orange,7.44,137.24
orange,7.44,137.24
orange,7.44,137.24
orange,7.44,137.24
orange,7.44,137.25
orange,7.44,137.28
orange,7.45,137.29
orange,7.45,137.3
orange,7.45,137.32
orange,7.45,137.32
orange,7.45,137.33
orange,7.45,137.34
orange,7.45,137.35
orange,7.45,137.35
orange,7.45,137.38
orange,7.45,137.38
orange,7.45,137.39
orange,7.45,137.41
orange,7.45,137.42
orange,7.45,137.44
orange,7.45,137.45
orange,7.46,137.51
orange,7.46,137.53
orange,7.46,137.54
orange,7.46,137.54
orange,7.46,137.54
orange,7.46,137.57
orange,7.46,137.6
orange,7.46,137.62
orange,7.46,137.67
orange,7.46,137.7
orange,7.46,137.71
orange,7.47,137.72
orange,7.47,137.73
orange,7.47,137.76
orange,7.47,137.76
orange,7.47,137.78
orange,7.47,137.81
orange,7.47,137.82
orange,7.47,137.83
orange,7.47,137.83
orange,7.47,137.84
orange,7.47,137.84
orange,7.47,137.88
orange,7.48,137.88
orange,7.48,137.89
orange,7.48,137.89
orange,7.48,137.89
orange,7.48,137.92
orange,7.48,137.92
orange,7.48,137.93
orange,7.48,137.95
orange,7.48,137.95
orange,7.48,137.96
orange,7.49,137.97
orange,7.49,137.98
orange,7.49,137.98
orange,7.49,137.99
orange,7.49,138
orange,7.49,138
orange,7.49,138.03
orange,7.49,138.04
orange,7.49,138.05
orange,7.49,138.06
orange,7.49,138.06
orange,7.49,138.06
orange,7.5,138.09
orange,7.5,138.09
orange,7.5,138.09
orange,7.5,138.09
orange,7.5,138.09
orange,7.5,138.09
orange,7.5,138.09
orange,7.5,138.13
orange,7.5,138.14
orange,7.5,138.14
orange,7.51,138.16
orange,7.51,138.17
orange,7.51,138.18
orange,7.51,138.19
orange,7.51,138.19
orange,7.51,138.21
orange,7.51,138.21
orange,7.51,138.23
orange,7.51,138.23
orange,7.51,138.24
orange,7.51,138.27
orange,7.51,138.29
orange,7.51,138.29
orange,7.52,138.33
orange,7.52,138.33
orange,7.52,138.34
orange,7.52,138.36
orange,7.52,138.37
orange,7.52,138.37
orange,7.52,138.39
orange,7.52,138.42
orange,7.52,138.42
orange,7.52,138.44
orange,7.52,138.44
orange,7.52,138.46
orange,7.52,138.46
orange,7.52,138.47
orange,7.52,138.48
orange,7.52,138.49
orange,7.52,138.54
orange,7.53,138.54
orange,7.53,138.57
orange,7.53,138.58
orange,7.53,138.59
orange,7.53,138.6
orange,7.53,138.6
orange,7.53,138.62
orange,7.53,138.62
orange,7.53,138.62
orange,7.53,138.65
orange,7.53,138.67
orange,7.53,138.67
orange,7.54,138.67
orange,7.54,138.68
orange,7.54,138.69
orange,7.54,138.69
orange,7.54,138.72
orange,7.54,138.72
orange,7.54,138.73
orange,7.55,138.73
orange,7.55,138.75
orange,7.55,138.76
orange,7.55,138.77
orange,7.55,138.78
orange,7.55,138.8
orange,7.55,138.83
orange,7.55,138.84
orange,7.55,138.84
orange,7.55,138.85
orange,7.55,138.85
orange,7.55,138.86
orange,7.56,138.86
orange,7.56,138.88
orange,7.56,138.88
orange,7.56,138.89
orange,7.56,138.94
orange,7.56,138.97
orange,7.56,138.98
orange,7.56,139
orange,7.56,139.01
orange,7.56,139.01
orange,7.56,139.01
orange,7.56,139.01
orange,7.57,139.02
orange,7.57,139.04
orange,7.57,139.04
orange,7.57,139.05
orange,7.57,139.05
orange,7.57,139.06
orange,7.57,139.07
orange,7.57,139.07
orange,7.57,139.08
orange,7.57,139.09
orange,7.57,139.09
orange,7.57,139.11
orange,7.57,139.11
orange,7.57,139.12
orange,7.58,139.13
orange,7.58,139.14
orange,7.58,139.15
orange,7.58,139.17
orange,7.58,139.19
orange,7.58,139.19
orange,7.58,139.2
orange,7.58,139.2
orange,7.58,139.22
orange,7.58,139.23
orange,7.58,139.24
orange,7.58,139.24
orange,7.59,139.25
orange,7.59,139.26
orange,7.59,139.29
orange,7.59,139.29
orange,7.59,139.29
orange,7.59,139.3
orange,7.59,139.32
orange,7.59,139.33
orange,7.59,139.34
orange,7.6,139.35
orange,7.6,139.35
orange,7.6,139.39
orange,7.6,139.4
orange,7.6,139.43
orange,7.6,139.44
orange,7.6,139.46
orange,7.6,139.48
orange,7.6,139.49
orange,7.6,139.49
orange,7.61,139.5
orange,7.61,139.51
orange,7.61,139.52
orange,7.61,139.54
orange,7.61,139.54
orange,7.61,139.54
orange,7.61,139.55
orange,7.61,139.57
orange,7.61,139.57
orange,7.61,139.57
orange,7.61,139.6
orange,7.61,139.62
orange,7.61,139.63
orange,7.61,139.65
orange,7.61,139.68
orange,7.62,139.68
orange,7.62,139.69
orange,7.62,139.71
orange,7.62,139.72
orange,7.62,139.73
orange,7.62,139.78
orange,7.62,139.78
orange,7.62,139.79
orange,7.62,139.82
orange,7.62,139.82
orange,7.63,139.83
orange,7.63,139.84
orange,7.63,139.84
orange,7.63,139.89
orange,7.63,139.89
orange,7.63,139.89
orange,7.63,139.9
orange,7.63,139.91
orange,7.63,139.91
orange,7.63,139.92
orange,7.63,139.93
orange,7.63,139.93
orange,7.63,139.93
orange,7.63,139.94
orange,7.63,139.95
orange,7.63,139.96
orange,7.64,139.96
orange,7.64,139.96
orange,7.64,139.97
orange,7.64,139.98
orange,7.64,140
orange,7.64,140.01
orange,7.64,140.01
orange,7.65,140.02
orange,7.65,140.04
orange,7.65,140.04
orange,7.65,140.08
orange,7.65,140.1
orange,7.65,140.11
orange,7.65,140.11
orange,7.65,140.12
orange,7.65,140.14
orange,7.65,140.15
orange,7.65,140.17
orange,7.65,140.19
orange,7.65,140.2
orange,7.66,140.21
orange,7.66,140.21
orange,7.66,140.24
orange,7.66,140.24
orange,7.66,140.27
orange,7.66,140.28
orange,7.66,140.29
orange,7.66,140.29
orange,7.66,140.29
orange,7.67,140.3
orange,7.67,140.3
orange,7.67,140.31
orange,7.67,140.32
orange,7.67,140.32
orange,7.67,140.33
orange,7.67,140.33
orange,7.67,140.33
orange,7.67,140.36
orange,7.67,140.43
orange,7.67,140.43
orange,7.67,140.44
